DecisionTreeClassifier;0.549975381585;0.974889217134;0.974396848843;0.911866075825;0.852781880847;0.176694029403;0.915384615385;0.0411849905643
DecisionTreeClassifier;0.829148202856;0.989660265879;0.9768586903;0.641555883801;0.859305760709;0.140655141625;0.981846153846;0.0522307734742
GaussianNB;0.74101427868;0.954702117184;0.642048252093;0.659281142294;0.749261447563;0.124363388049;0.908923076923;0.0375526684567
SVC;0.747907434761;0.950763170852;0.944854751354;0.76415558838;0.851920236337;0.0960833571796;0.958153846154;6.30903817017
SVC;0.8670605613;0.998030526834;1.0;0.618906942393;0.870999507632;0.155196797339;0.999692307692;1.95323353214
LogisticRegression;0.643032988676;0.948301329394;0.944854751354;0.777941900542;0.828532742491;0.127323324758;0.947692307692;0.647431267477
RandomForestClassifier;0.870999507632;1.0;1.0;0.645494830133;0.879123584441;0.144802115955;1.0;0.308286817459
GaussianNB;0.74101427868;0.954702117184;0.642048252093;0.659281142294;0.749261447563;0.124363388049;0.908923076923;0.0388385635094
BaggingClassifier;0.868537666174;0.988675529296;0.999015263417;0.660758247169;0.879246676514;0.136171826097;0.999384615385;2.15952240139
BaggingClassifier;0.744953225012;0.91678975874;0.944854751354;0.663712456918;0.817577548006;0.11725112771;0.906153846154;1.2643281936
BaggingClassifier;0.788774002954;0.978335795175;0.974396848843;0.911866075825;0.913343180699;0.0766016517659;0.940615384615;0.253651031089
BaggingClassifier;0.760216642048;0.87050713934;0.470704086657;0.660265878877;0.690423436731;0.147043618143;0.913230769231;0.234871489607
BaggingClassifier;0.857705563762;0.977351058592;0.988183161004;0.624815361891;0.862013786312;0.146204523542;0.999076923077;3.531032321
AdaBoostClassifier;0.873953717381;1.0;1.0;0.692762186115;0.891678975874;0.125846099038;1.0;8.03781822909
ExtraTreesClassifier;0.873953717381;1.0;1.0;0.598227474151;0.868045297883;0.164058415089;1.0;7.17839260125
GradientBoostingClassifier;0.873953717381;0.997045790251;0.999507631709;0.692762186115;0.890817331364;0.125108242037;1.0;4.05372791966
RandomForestClassifier;0.870999507632;1.0;1.0;0.645494830133;0.879123584441;0.144802115955;1.0;0.276875399036
VotingClassifier;0.629246676514;0.957163958641;0.953225012309;0.659773510586;0.799852289513;0.155722905215;0.949230769231;0.639873266426
VotingClassifier;0.652880354505;0.957656326933;0.968980797637;0.650418513048;0.807483998031;0.155888419883;0.958461538462;0.74164499632
VotingClassifier;0.652880354505;0.957656326933;0.968980797637;0.650418513048;0.807483998031;0.155888419883;0.958461538462;0.749457011891
